measureKey,metricKey,sheet,row
CMCP Mode Share - Work Trips,Percentage of Total Person Trips - Drive Alone,Primary Measures,4
CMCP Mode Share - Work Trips,Percentage of Total Person Trips - Shared Ride 2,Primary Measures,5
CMCP Mode Share - Work Trips,Percentage of Total Person Trips - Shared Ride 3+,Primary Measures,6
CMCP Mode Share - Work Trips,Percentage of Total Person Trips - Transit,Primary Measures,7
CMCP Mode Share - Work Trips,Percentage of Total Person Trips - Bike,Primary Measures,8
CMCP Mode Share - Work Trips,Percentage of Total Person Trips - Walk,Primary Measures,9
CMCP Mode Share,Percentage of Total Person Trips - Drive Alone,Primary Measures,10
CMCP Mode Share,Percentage of Total Person Trips - Shared Ride 2,Primary Measures,11
CMCP Mode Share,Percentage of Total Person Trips - Shared Ride 3+,Primary Measures,12
CMCP Mode Share,Percentage of Total Person Trips - Transit,Primary Measures,13
CMCP Mode Share,Percentage of Total Person Trips - Bike,Primary Measures,14
CMCP Mode Share,Percentage of Total Person Trips - Walk,Primary Measures,15
CMCP Mode Share - Trips Under 3 Miles,Percentage of Total Person Trips - Drive Alone,Primary Measures,28
CMCP Mode Share - Trips Under 3 Miles,Percentage of Total Person Trips - Shared Ride 2,Primary Measures,29
CMCP Mode Share - Trips Under 3 Miles,Percentage of Total Person Trips - Shared Ride 3+,Primary Measures,30
CMCP Mode Share - Trips Under 3 Miles,Percentage of Total Person Trips - Transit,Primary Measures,31
CMCP Mode Share - Trips Under 3 Miles,Percentage of Total Person Trips - Bike,Primary Measures,32
CMCP Mode Share - Trips Under 3 Miles,Percentage of Total Person Trips - Walk,Primary Measures,33
CMCP Mode Share - Work Trips,Total Person Trips - Drive Alone    ,Primary Measures,34
CMCP Mode Share - Work Trips,Total Person Trips - Shared Ride 2  ,Primary Measures,35
CMCP Mode Share - Work Trips,Total Person Trips - Shared Ride 3+ ,Primary Measures,36
CMCP Mode Share - Work Trips,Total Person Trips - Transit        ,Primary Measures,37
CMCP Mode Share - Work Trips,Total Person Trips - Bike           ,Primary Measures,38
CMCP Mode Share - Work Trips,Total Person Trips - Walk           ,Primary Measures,39
CMCP Mode Share - Work Trips,Total Person Trips - Total,Primary Measures,40
